"Fecha","InicioSintomas","Reporte"
2020-01-06,1,NA
2020-01-07,0,NA
2020-01-08,1,NA
2020-01-09,0,NA
2020-01-10,0,NA
2020-01-11,0,NA
2020-01-12,0,NA
2020-01-13,0,NA
2020-01-14,0,NA
2020-01-15,0,NA
2020-01-16,0,NA
2020-01-17,1,NA
2020-01-18,0,NA
2020-01-19,0,NA
2020-01-20,0,NA
2020-01-21,0,NA
2020-01-22,0,NA
2020-01-23,0,NA
2020-01-24,0,NA
2020-01-25,0,NA
2020-01-26,0,NA
2020-01-27,0,NA
2020-01-28,0,NA
2020-01-29,0,NA
2020-01-30,0,NA
2020-01-31,0,NA
2020-02-01,0,NA
2020-02-02,0,NA
2020-02-03,0,NA
2020-02-04,0,NA
2020-02-05,0,NA
2020-02-06,1,NA
2020-02-07,2,NA
2020-02-08,0,NA
2020-02-09,0,NA
2020-02-10,0,NA
2020-02-11,0,NA
2020-02-12,0,NA
2020-02-13,0,NA
2020-02-14,1,NA
2020-02-15,0,NA
2020-02-16,0,NA
2020-02-17,2,NA
2020-02-18,1,NA
2020-02-19,2,NA
2020-02-20,0,NA
2020-02-21,1,NA
2020-02-22,2,NA
2020-02-23,2,NA
2020-02-24,0,NA
2020-02-25,2,NA
2020-02-26,1,NA
2020-02-27,2,NA
2020-02-28,2,3
2020-02-29,2,1
2020-03-01,6,1
2020-03-02,8,0
2020-03-03,6,0
2020-03-04,7,0
2020-03-05,7,0
2020-03-06,9,1
2020-03-07,19,1
2020-03-08,21,0
2020-03-09,60,0
2020-03-10,48,0
2020-03-11,50,4
2020-03-12,57,4
2020-03-13,84,11
2020-03-14,92,15
2020-03-15,96,12
2020-03-16,132,29
2020-03-17,102,11
2020-03-18,121,25
2020-03-19,104,46
2020-03-20,176,39
2020-03-21,124,48
2020-03-22,131,65
2020-03-23,205,51
2020-03-24,166,38
2020-03-25,186,70
2020-03-26,231,110
2020-03-27,262,132
2020-03-28,254,131
2020-03-29,243,145
2020-03-30,348,101
2020-03-31,293,121
2020-04-01,407,163
2020-04-02,397,132
2020-04-03,410,178
2020-04-04,416,202
2020-04-05,385,253
2020-04-06,515,296
2020-04-07,452,346
2020-04-08,546,396
2020-04-09,525,260
2020-04-10,799,403
2020-04-11,583,375
2020-04-12,596,442
2020-04-13,722,353
2020-04-14,617,385
2020-04-15,656,448
2020-04-16,633,450
2020-04-17,592,578
2020-04-18,568,622
2020-04-19,418,764
2020-04-20,371,511
2020-04-21,199,729
2020-04-22,114,1043
2020-04-23,63,1089
2020-04-24,8,1239
2020-04-25,10,970
2020-04-26,1,835
