"Fecha","InicioSintomas","Reporte"
2020-01-14,1,NA
2020-01-15,0,NA
2020-01-16,0,NA
2020-01-17,1,NA
2020-01-18,0,NA
2020-01-19,0,NA
2020-01-20,0,NA
2020-01-21,0,NA
2020-01-22,0,NA
2020-01-23,0,NA
2020-01-24,0,NA
2020-01-25,0,NA
2020-01-26,0,NA
2020-01-27,0,NA
2020-01-28,1,NA
2020-01-29,1,NA
2020-01-30,0,NA
2020-01-31,0,NA
2020-02-01,0,NA
2020-02-02,0,NA
2020-02-03,0,NA
2020-02-04,0,NA
2020-02-05,0,NA
2020-02-06,1,NA
2020-02-07,0,NA
2020-02-08,0,NA
2020-02-09,0,NA
2020-02-10,0,NA
2020-02-11,0,NA
2020-02-12,0,NA
2020-02-13,0,NA
2020-02-14,0,NA
2020-02-15,0,NA
2020-02-16,0,NA
2020-02-17,0,NA
2020-02-18,0,NA
2020-02-19,1,NA
2020-02-20,0,NA
2020-02-21,1,NA
2020-02-22,2,NA
2020-02-23,1,NA
2020-02-24,0,NA
2020-02-25,1,NA
2020-02-26,1,NA
2020-02-27,2,NA
2020-02-28,2,3
2020-02-29,2,1
2020-03-01,6,1
2020-03-02,9,0
2020-03-03,6,0
2020-03-04,7,0
2020-03-05,7,0
2020-03-06,10,1
2020-03-07,21,1
2020-03-08,21,0
2020-03-09,62,0
2020-03-10,50,0
2020-03-11,51,4
2020-03-12,58,4
2020-03-13,86,11
2020-03-14,92,15
2020-03-15,99,12
2020-03-16,132,29
2020-03-17,108,11
2020-03-18,124,25
2020-03-19,109,46
2020-03-20,182,39
2020-03-21,127,48
2020-03-22,139,65
2020-03-23,222,51
2020-03-24,179,38
2020-03-25,207,70
2020-03-26,244,110
2020-03-27,282,132
2020-03-28,266,131
2020-03-29,260,145
2020-03-30,378,101
2020-03-31,309,121
2020-04-01,453,163
2020-04-02,428,132
2020-04-03,440,178
2020-04-04,444,202
2020-04-05,420,253
2020-04-06,566,296
2020-04-07,494,346
2020-04-08,609,396
2020-04-09,607,260
2020-04-10,943,403
2020-04-11,706,375
2020-04-12,754,442
2020-04-13,940,353
2020-04-14,886,385
2020-04-15,1016,448
2020-04-16,1008,450
2020-04-17,1129,578
2020-04-18,1234,622
2020-04-19,1107,764
2020-04-20,1783,511
2020-04-21,1159,729
2020-04-22,1199,1043
2020-04-23,1269,1089
2020-04-24,1497,1239
2020-04-25,1528,970
2020-04-26,1388,835
2020-04-27,1666,852
2020-04-28,1481,1223
2020-04-29,1321,1047
2020-04-30,1806,1425
2020-05-01,2417,1515
2020-05-02,1753,1349
2020-05-03,1672,1383
2020-05-04,2099,1434
2020-05-05,2072,1120
2020-05-06,1861,1609
2020-05-07,2076,1982
2020-05-08,2387,1906
2020-05-09,2101,1938
2020-05-10,2697,1562
2020-05-11,2463,1305
2020-05-12,2092,1997
2020-05-13,1980,1862
2020-05-14,1894,2409
2020-05-15,2488,2437
2020-05-16,1851,2112
2020-05-17,1638,2075
2020-05-18,1786,2414
2020-05-19,1226,2713
2020-05-20,962,2248
2020-05-21,467,2973
2020-05-22,268,2960
2020-05-23,115,3329
2020-05-24,37,2764
2020-05-25,6,2485
2020-05-26,0,3455
