"Fecha","InicioSintomas","Reporte"
2020-01-13,1,NA
2020-01-14,0,NA
2020-01-15,0,NA
2020-01-16,0,NA
2020-01-17,0,NA
2020-01-18,0,NA
2020-01-19,0,NA
2020-01-20,0,NA
2020-01-21,0,NA
2020-01-22,0,NA
2020-01-23,0,NA
2020-01-24,0,NA
2020-01-25,0,NA
2020-01-26,0,NA
2020-01-27,0,NA
2020-01-28,0,NA
2020-01-29,1,NA
2020-01-30,0,NA
2020-01-31,0,NA
2020-02-01,0,NA
2020-02-02,0,NA
2020-02-03,0,NA
2020-02-04,0,NA
2020-02-05,0,NA
2020-02-06,1,NA
2020-02-07,0,NA
2020-02-08,0,NA
2020-02-09,0,NA
2020-02-10,0,NA
2020-02-11,0,NA
2020-02-12,0,NA
2020-02-13,0,NA
2020-02-14,0,NA
2020-02-15,0,NA
2020-02-16,0,NA
2020-02-17,0,NA
2020-02-18,0,NA
2020-02-19,1,NA
2020-02-20,0,NA
2020-02-21,1,NA
2020-02-22,2,NA
2020-02-23,1,NA
2020-02-24,0,NA
2020-02-25,1,NA
2020-02-26,1,NA
2020-02-27,2,NA
2020-02-28,2,3
2020-02-29,2,1
2020-03-01,6,1
2020-03-02,8,0
2020-03-03,6,0
2020-03-04,7,0
2020-03-05,7,0
2020-03-06,10,1
2020-03-07,21,1
2020-03-08,21,0
2020-03-09,62,0
2020-03-10,50,0
2020-03-11,51,4
2020-03-12,60,4
2020-03-13,87,11
2020-03-14,91,15
2020-03-15,100,12
2020-03-16,133,29
2020-03-17,111,11
2020-03-18,123,25
2020-03-19,113,46
2020-03-20,182,39
2020-03-21,131,48
2020-03-22,141,65
2020-03-23,222,51
2020-03-24,181,38
2020-03-25,210,70
2020-03-26,247,110
2020-03-27,289,132
2020-03-28,272,131
2020-03-29,263,145
2020-03-30,384,101
2020-03-31,309,121
2020-04-01,464,163
2020-04-02,437,132
2020-04-03,443,178
2020-04-04,453,202
2020-04-05,430,253
2020-04-06,582,296
2020-04-07,513,346
2020-04-08,626,396
2020-04-09,625,260
2020-04-10,963,403
2020-04-11,724,375
2020-04-12,775,442
2020-04-13,966,353
2020-04-14,911,385
2020-04-15,1045,448
2020-04-16,1030,450
2020-04-17,1172,578
2020-04-18,1265,622
2020-04-19,1144,764
2020-04-20,1857,511
2020-04-21,1210,729
2020-04-22,1254,1043
2020-04-23,1306,1089
2020-04-24,1553,1239
2020-04-25,1614,970
2020-04-26,1439,835
2020-04-27,1768,852
2020-04-28,1560,1223
2020-04-29,1410,1047
2020-04-30,1955,1425
2020-05-01,2653,1515
2020-05-02,1913,1349
2020-05-03,1820,1383
2020-05-04,2313,1434
2020-05-05,2335,1120
2020-05-06,2086,1609
2020-05-07,2329,1982
2020-05-08,2703,1906
2020-05-09,2391,1938
2020-05-10,3239,1562
2020-05-11,2992,1305
2020-05-12,2694,1997
2020-05-13,2643,1862
2020-05-14,2658,2409
2020-05-15,3913,2437
2020-05-16,2989,2112
2020-05-17,2854,2075
2020-05-18,4101,2414
2020-05-19,3208,2713
2020-05-20,4367,2248
2020-05-21,3021,2973
2020-05-22,3831,2960
2020-05-23,3534,3329
2020-05-24,3321,2764
2020-05-25,5001,2485
2020-05-26,3665,3455
2020-05-27,3503,3463
2020-05-28,3982,3377
2020-05-29,4039,3227
2020-05-30,3887,2885
2020-05-31,3632,3152
2020-06-01,6575,2771
2020-06-02,4109,3891
2020-06-03,4068,3912
2020-06-04,4230,4442
2020-06-05,5212,4346
2020-06-06,4912,3593
2020-06-07,4165,3484
2020-06-08,5545,2999
2020-06-09,4508,4199
2020-06-10,6055,4883
2020-06-11,4395,4790
2020-06-12,5135,5222
2020-06-13,4581,3494
2020-06-14,4433,4147
2020-06-15,6820,3427
2020-06-16,5131,4599
2020-06-17,4430,4930
2020-06-18,5417,5662
2020-06-19,5527,5030
2020-06-20,7130,4717
2020-06-21,4557,5343
2020-06-22,5814,4577
2020-06-23,5043,6288
2020-06-24,4998,5437
2020-06-25,5931,6104
2020-06-26,6437,5441
2020-06-27,5046,4410
2020-06-28,6028,4050
2020-06-29,6375,3805
2020-06-30,6299,5432
2020-07-01,7996,5681
2020-07-02,5846,6741
2020-07-03,6239,6740
2020-07-04,5499,6914
2020-07-05,5982,4683
2020-07-06,6639,4902
2020-07-07,5996,6258
2020-07-08,5434,6995
2020-07-09,5593,7280
2020-07-10,8528,6891
2020-07-11,5483,6094
2020-07-12,5786,4482
2020-07-13,6967,4685
2020-07-14,5775,7051
2020-07-15,7238,6149
2020-07-16,5695,6406
2020-07-17,6416,7257
2020-07-18,6338,7615
2020-07-19,5594,5311
2020-07-20,8537,5172
2020-07-21,5126,6859
2020-07-22,5007,6019
2020-07-23,4838,8438
2020-07-24,5194,7573
2020-07-25,5935,6751
2020-07-26,4366,5480
2020-07-27,5303,4973
2020-07-28,4165,7208
2020-07-29,3416,5752
2020-07-30,2952,7730
2020-07-31,2733,8458
2020-08-01,3085,9556
2020-08-02,1600,4853
2020-08-03,1403,4767
2020-08-04,834,6148
2020-08-05,351,6139
2020-08-06,78,6590
2020-08-07,4,6717
2020-08-08,0,6495
